<p>How are CPU and memory defined in a VM's spec?</p>	<p>Under <code>spec.template.spec.domain</code> you set <strong><code>cpu</code></strong> (cores/sockets/threads) and <strong><code>memory</code>/resources</strong>. Guest topology comes from cores×sockets×threads. Harvester advises that total <strong>vCPUs should not exceed the host's physical threads</strong>, though CPU overcommit relaxes what the scheduler actually reserves.</p>	suse-virtualization vm-lifecycle
<p>Why does a VM reserve more memory than its guest RAM, and how is that tuned?</p>	<p>KubeVirt/QEMU need <strong>overhead memory</strong> (for the emulator, page tables, etc.) on top of guest RAM. Harvester sizes this automatically and lets you scale it with the <strong><code>additional-guest-memory-overhead-ratio</code></strong> setting (default <code>1.5</code>, range <code>1.0</code>–<code>10.0</code>) to avoid the VM being OOM-killed under load.</p>	suse-virtualization vm-lifecycle
<p>What are the four KubeVirt run strategies and what does each mean?</p>	<p><strong><code>Always</code></strong> — keep the VM running, restart it if it stops or crashes. <strong><code>RerunOnFailure</code></strong> — restart only after a failure, not after a clean guest shutdown. <strong><code>Manual</code></strong> — state changes only via explicit start/stop/restart. <strong><code>Halted</code></strong> — keep the VM stopped (shown as "Stopped" in the UI).</p>	suse-virtualization vm-lifecycle
<p>What do the start, stop, restart, and pause actions do to a VM?</p>	<p><strong>Start/Stop</strong> create or delete the VMI (a stop is a graceful ACPI shutdown). <strong>Restart</strong> stops then starts it. <strong>Pause</strong> freezes the running guest's vCPUs in memory (via libvirt) without shutting it down, so it can be resumed instantly; a paused VM still holds its host resources.</p>	suse-virtualization vm-lifecycle
<p>What does the qemu-guest-agent enable inside a VM?</p>	<p>Installed in the guest, it lets the host <strong>read guest info</strong> (IP addresses, hostname, filesystem/OS details), perform <strong>graceful shutdown/restart</strong>, do <strong>filesystem-quiesced snapshots</strong>, and support <strong>guest-level password/SSH-key injection</strong>. Without it, the UI cannot report the guest IP or run agent-based operations.</p>	suse-virtualization vm-lifecycle
<p>What is disk hotplug and when can you use it?</p>	<p>You can <strong>attach or detach data volumes to a running VM</strong> without rebooting it. The added volume appears to the guest as a new block device. Hotplug applies to additional disks (not the boot disk); a persistent volume added this way remains bound to the VM until detached.</p>	suse-virtualization vm-lifecycle
<p>Can you hot-add a network interface to a running VM?</p>	<p><strong>NIC hotplug</strong> lets you attach an additional network interface to a live VM without a reboot; the guest sees a new NIC and can configure it. (Hot-<strong>remove</strong> support is more limited, so plan interface changes accordingly.)</p>	suse-virtualization vm-lifecycle
<p>What is a VM template in Harvester?</p>	<p>A reusable, versioned <strong>blueprint</strong> capturing a VM's configuration — CPU/memory, disks, images, networks, and cloud-init. New VMs created "from template" inherit those defaults, standardizing provisioning. You can maintain multiple template <strong>versions</strong> and pick a default.</p>	suse-virtualization vm-lifecycle
<p>What is the difference between cloud-init user-data and network-data?</p>	<p>Both are cloud-init documents injected at first boot. <strong>user-data</strong> configures the OS — users, SSH keys, packages, and run commands. <strong>network-data</strong> configures <strong>networking</strong> — interfaces, static IPs, DNS, routes. Splitting them keeps host setup separate from network setup. Linux guests must have cloud-init installed to consume them.</p>	suse-virtualization vm-lifecycle
<p>How are Windows guests customized at first boot instead of cloud-init?</p>	<p>Windows uses <strong>Sysprep</strong>: Harvester supplies an <strong><code>autounattend.xml</code> / <code>unattend.xml</code></strong> answer file (via a cloud-init-style volume) that Windows Setup consumes to set hostname, product key, users, and locale on generalized images — the Windows equivalent of Linux cloud-init.</p>	suse-virtualization vm-lifecycle
<p>How do you access a VM's console in Harvester?</p>	<p>The UI offers a <strong>graphical VNC console</strong> and a <strong>serial (text) console</strong> to the guest, reachable even before the guest network is up. This is the out-of-band path for installs, boot troubleshooting, and recovering VMs with broken networking.</p>	suse-virtualization vm-lifecycle
<p>What happens to a VM's volumes when you delete the VM?</p>	<p>Delete is selective: the UI lets you choose which attached <strong>volumes/PVCs are deleted along with the VM</strong> and which are <strong>retained</strong>. Typically the root disk is removed while data volumes can be kept for reuse. Retained volumes stay as Longhorn PVCs until you delete them explicitly.</p>	suse-virtualization vm-lifecycle
<p>How does live migration move a running VM between hosts?</p>	<p>A <strong><code>VirtualMachineInstanceMigration</code></strong> object is created; the source keeps running while its <strong>memory pages (and, for local storage, disk state) are copied to the destination</strong>. Once state converges, execution is switched over with only a brief pause, so the guest experiences <strong>no reboot and effectively no downtime</strong>.</p>	suse-virtualization live-migration-ha-scheduling
<p>When is a VM eligible for live migration?</p>	<p>When it has <strong>no non-migratable properties</strong>, its storage is accessible from another host, and there is at least one <strong>other schedulable node</strong> with a <strong>CPU-compatible</strong> processor and enough free resources for the VM's full request. Harvester triggers it via the VM menu's <strong>Migrate</strong> action or automatically during maintenance.</p>	suse-virtualization live-migration-ha-scheduling
<p>What storage requirement must a VM meet to be migratable?</p>	<p>Its volumes must be reachable from the target host — either <strong><code>ReadWriteMany</code> (RWX)</strong> access mode or a <strong>replica count greater than one</strong> so a replica already lives on other nodes. Longhorn/SUSE Storage replicates volumes across nodes, which is what makes shared-nothing hosts support live migration.</p>	suse-virtualization live-migration-ha-scheduling
<p>Why does CPU compatibility matter for live migration?</p>	<p>The guest keeps running the <strong>same CPU feature set</strong> after the move, so the destination CPU must expose at least those features. With the default <strong><code>host-model</code></strong> CPU, migration is restricted to nodes with a <strong>matching/compatible CPU model</strong>; mismatched microarchitectures can block migration.</p>	suse-virtualization live-migration-ha-scheduling
<p>Which VM characteristics make a VM non-migratable?</p>	<p>A VM cannot live-migrate if it uses <strong>host-device/PCI passthrough or vGPU</strong>, has a <strong>CD-ROM or container-disk</strong> volume, is bound by a <strong>node selector</strong> to specific hardware, or has <strong>strict anti-affinity</strong> it cannot satisfy elsewhere. Such VMs must be stopped to move them.</p>	suse-virtualization live-migration-ha-scheduling
<p>What does putting a node into Maintenance Mode do?</p>	<p>It <strong>cordons</strong> the node and <strong>live-migrates all migratable VMs off it</strong> in batches, letting you safely do firmware updates, reboots, or hardware work. It needs <strong>at least one other active node</strong> to receive the VMs; non-migratable VMs must be shut down first.</p>	suse-virtualization live-migration-ha-scheduling
<p>What provides VM high availability when a node fails unexpectedly?</p>	<p>VMs with <strong><code>runStrategy: Always</code></strong> are automatically <strong>restarted on healthy nodes</strong> after Harvester detects the node is down. Because Longhorn keeps <strong>replicas on other nodes</strong>, the volumes reattach elsewhere, so the guest reboots (cold, not live) on surviving capacity without operator action.</p>	suse-virtualization live-migration-ha-scheduling
<p>What actually happens to a VM the moment its host node dies?</p>	<p>The VMI's pod becomes unreachable and cannot be live-migrated (its memory is gone). Once Harvester confirms the node is truly down, it <strong>force-deletes the stale VMI pod</strong> so the controller can <strong>reschedule and cold-start</strong> the VM elsewhere. The guest loses in-memory state and boots fresh from its replicated disks.</p>	suse-virtualization live-migration-ha-scheduling
<p>How does the Kubernetes scheduler place VMs given Harvester's overcommit?</p>	<p>A VM's pod requests are <strong>divided down by the overcommit ratios</strong> before scheduling. For example, at the default <strong>1600% CPU</strong> overcommit a VM asking for 2 vCPUs only reserves ~<strong>125 mCPU</strong> from the scheduler, so many VMs pack onto a node; the scheduler then places pods by these reduced requests plus any affinity rules.</p>	suse-virtualization live-migration-ha-scheduling
<p>How do node affinity and anti-affinity control VM placement?</p>	<p>You attach <strong><code>nodeSelector</code>/<code>affinity</code></strong> rules (matching node labels) to steer a VM <strong>toward</strong> specific nodes, and <strong>anti-affinity</strong> to keep VMs <strong>apart</strong> — e.g. spreading replicas of an app across hosts. Note that <strong>hard node selectors and strict anti-affinity make a VM non-migratable</strong>, trading placement control for mobility.</p>	suse-virtualization live-migration-ha-scheduling
<p>What are the default CPU, memory, and storage overcommit ratios?</p>	<p>Set in the <strong><code>overcommit-config</code></strong> setting, the defaults are <strong>CPU 1600%, Memory 150%, Storage 200%</strong>. Values above 100% let Harvester schedule VMs whose nominal totals exceed physical capacity, on the assumption they won't all peak at once — raising density at the cost of contention risk if oversubscribed.</p>	suse-virtualization live-migration-ha-scheduling
<p>How do you give a VM dedicated, pinned physical CPUs?</p>	<p>Enable the <strong>CPU Manager (static policy)</strong> on the node, then enable <strong>CPU pinning</strong> on the VM, which sets <strong><code>dedicatedCpuPlacement: true</code></strong> and creates a 1:1 vCPU-to-physical-CPU mapping in libvirt. This gives latency-sensitive guests stable cores. A pinned VM can only migrate to a target node that <strong>also has the CPU Manager enabled</strong>.</p>	suse-virtualization live-migration-ha-scheduling
<p>What is a VirtualMachineImage in Harvester?</p>	<p>A <strong>VirtualMachineImage</strong> is a Harvester CRD that represents a golden OS image used as the source for VM boot disks. When you create a VM, its root volume is cloned from the image rather than downloaded again, so many VMs can share one prepared image. It has a <code>displayName</code>, a <code>sourceType</code>, an optional <code>checksum</code>, and a target storage backend.</p>	suse-virtualization images-cloud-init
<p>What are the three source types for creating a VirtualMachineImage?</p>	<p>The <code>sourceType</code> field selects how the image is obtained: - <strong>download</strong> — Harvester pulls the file from an HTTP(S) <code>url</code>. - <strong>upload</strong> — you push a local file to the image's upload endpoint. - <strong>export-from-volume</strong> — a new image is created from the data of an existing Longhorn volume/PVC.</p>	suse-virtualization images-cloud-init
<p>What does the export-from-volume source type let you do?</p>	<p><strong>export-from-volume</strong> creates a VirtualMachineImage from the current contents of an existing volume (PVC). This is how you "golden-image" a VM you have already customized: prepare one VM, export its disk to an image, then clone new VMs from that image.</p>	suse-virtualization images-cloud-init
<p>What are the two image backends in Harvester and when is each used?</p>	<ul> <li><strong>Longhorn backing image</strong> (default) — used with the Longhorn <strong>V1</strong> data engine; Harvester generates a per-image StorageClass that inherits replica count and node/disk selectors.</li> <li><strong>CDI</strong> (Containerized Data Importer), set via <code>backend: cdi</code> — required for the Longhorn <strong>V2</strong> data engine, <strong>LVM</strong>, and <strong>third-party CSI</strong> storage; it imports the image into a golden PVC in the chosen StorageClass.</li> </ul>	suse-virtualization images-cloud-init
<p>Which disk image formats can a VirtualMachineImage use?</p>	<p>Harvester supports <strong>qcow2</strong>, <strong>raw</strong>, and <strong>ISO</strong> images. qcow2 and raw are used as bootable OS disks (cloud images), while ISO is installation/optical media attached as a CD-ROM. Harvester detects the virtual size and requires the target volume to be at least as large as the image.</p>	suse-virtualization images-cloud-init
<p>What does the targetStorageClassName field control on an image?</p>	<p><strong>targetStorageClassName</strong> (used with the CDI backend) selects which StorageClass — and therefore which storage backend, e.g. a third-party CSI or Longhorn V2 — stores the golden image PVC. It <strong>cannot be changed after the image is created</strong>, so the backend choice is fixed at creation time.</p>	suse-virtualization images-cloud-init
<p>How does Harvester speed up VM boot from a shared image?</p>	<p>With the Longhorn backing-image backend, the image is downloaded/uploaded once and then <strong>cached as a backing image on nodes</strong>. New VM disks are thin clones layered on top of that cached backing image, so subsequent VMs boot quickly without re-fetching or fully copying the OS data.</p>	suse-virtualization images-cloud-init
<p>How are SSH public keys injected into a Linux VM?</p>	<p>SSH keys are delivered through <strong>cloud-init user-data</strong>. In the Harvester UI you select or upload keys in the <strong>SSH Keys</strong> field on the VM's Basics tab; Harvester adds them to the user-data so the guest's cloud-init writes them to the user's <code>authorized_keys</code> at first boot. No manual login is required to enable key-based access.</p>	suse-virtualization images-cloud-init
<p>Why are cloud images preferred over ISOs for Linux VMs?</p>	<p><strong>Cloud images</strong> (qcow2/raw) ship pre-installed with the OS and the <strong>cloud-init</strong> agent, so they boot straight to a configured system and accept user-data/network-data automatically. An ISO is bare install media that would require an interactive, manual OS installation, so cloud images give unattended, reproducible provisioning.</p>	suse-virtualization images-cloud-init
<p>How do you install a guest from an ISO in Harvester?</p>	<p>Attach the ISO as a <strong>cd-rom</strong> type volume and add a blank <strong>disk</strong> volume for the target. Use <strong>bootOrder</strong> so the VM boots the CD-ROM first, run the installer onto the disk, then set the disk's boot order ahead of the CD-ROM so later boots come from the installed system. ISO-backed (and CD-ROM) volumes are not live-migratable.</p>	suse-virtualization images-cloud-init
<p>What is the management network (mgmt) in Harvester?</p>	<p>The <strong>mgmt</strong> network is the built-in cluster network that is always enabled and cannot be deleted or disabled. It carries Kubernetes control-plane, node, and storage-by-default traffic, and it is the network a VM uses when attached to the pod/management network (via KubeVirt masquerade binding) rather than a VLAN.</p>	suse-virtualization networking
<p>What is a ClusterNetwork in Harvester?</p>	<p>A <strong>ClusterNetwork</strong> is a cluster-wide, traffic-isolated forwarding path that groups the per-node network configurations and the VM networks built on top of them. The built-in <code>mgmt</code> cluster network exists automatically; you create additional cluster networks (e.g. <code>vlan</code>, <code>storage</code>) to carry VM or storage traffic on separate uplinks.</p>	suse-virtualization networking
<p>What does a Network Config (uplink) define on each host?</p>	<p>A per-host <strong>Network Config</strong> binds a ClusterNetwork to physical NICs on that node and sets the <strong>uplink</strong>: which NICs, the <strong>bond mode</strong> (default <code>active-backup</code>), and the <strong>MTU</strong>. Using a node selector, different hosts can have different NIC layouts under the same cluster network, supporting heterogeneous hardware.</p>	suse-virtualization networking
<p>Why bond NICs for a Harvester uplink?</p>	<p><strong>NIC bonding</strong> aggregates multiple physical ports into one logical uplink for <strong>redundancy</strong> (and, depending on mode, throughput). The default <code>active-backup</code> mode keeps traffic on one NIC and fails over to the other if a link or switch dies, so VM and cluster networking survive a single-NIC or single-switch failure.</p>	suse-virtualization networking
<p>What role do Multus and NetworkAttachmentDefinition play?</p>	<p>Harvester uses <strong>Multus</strong> to give VMs interfaces beyond the default pod network. Each VLAN/untagged VM network is represented by a <strong>NetworkAttachmentDefinition (NAD)</strong> CRD that describes the bridge and VLAN; attaching a VM to that NAD wires an extra NIC into the VM. The NAD inherits its MTU from the parent cluster network config.</p>	suse-virtualization networking
<p>How does a VM NIC connect to a physical VLAN network?</p>	<p>For VLAN/untagged networks Harvester uses KubeVirt <strong>bridge binding</strong>: the VM's NIC is attached to the host bridge on the cluster network's bonded uplink, so the VM sits directly on the external L2 segment. By contrast the management network uses <strong>masquerade binding</strong>, NATing the VM behind the pod network.</p>	suse-virtualization networking
<p>What is the storage network and why separate it?</p>	<p>The <strong>storage network</strong> is an optional dedicated network (its own cluster network + VLAN) that carries <strong>Longhorn replication and data traffic</strong>, moving it off the <code>mgmt</code> network. This prevents storage I/O from contending with control-plane traffic; Longhorn pods get an extra interface (e.g. <code>lhnet1</code>) on it. All VMs must be stopped to (re)configure it.</p>	suse-virtualization networking
<p>What is the management VIP in Harvester and how is it provided?</p>	<p>The <strong>management VIP</strong> is a single virtual IP for reaching the cluster API/UI regardless of which node is active; it is provided by <strong>kube-vip</strong>. It is set at install via DHCP or static assignment, must be in the same L2 subnet as the node mgmt interfaces, and differ from every node IP. It moves between nodes using gratuitous ARP.</p>	suse-virtualization networking
<p>How does Harvester load-balance traffic to VM workloads or guest clusters?</p>	<p>Harvester provides a built-in <strong>Layer-4 (TCP/UDP) load balancer</strong> that spreads traffic across backend VMs chosen by label selector, with health checks. Combined with the <strong>Harvester Cloud Provider</strong>, it also backs <code>LoadBalancer</code> Services in guest Kubernetes clusters, automatically creating a Harvester LB per guest service. It requires the guest agent and is IPv4-only.</p>	suse-virtualization networking
<p>How do VMs and load balancers get their IP addresses?</p>	<p>Addresses come either from <strong>DHCP</strong> on the VLAN network or from a Harvester <strong>IPPool</strong> (IP pool), an administrator-defined range that IPAM hands out — using an <code>auto</code> pool by namespace/network or an explicitly named pool. IP pools use the Whereabouts CNI for allocation and let you assign LB IPs without an external DHCP server.</p>	suse-virtualization networking
<p>What is the difference between a tagged (VLAN) and an untagged VM network?</p>	<p>A <strong>VLAN network</strong> carries a specific VLAN ID; the host uplink must be a switch <strong>trunk port</strong> passing that tagged VLAN. An <strong>untagged network</strong> carries no VLAN tag (native/access VLAN) and is used when the VMs should ride the uplink's untagged traffic. Both are Multus networks on a non-mgmt cluster network.</p>	suse-virtualization networking
<p>What must you consider about MTU and jumbo frames?</p>	<p>The default <strong>MTU is 1500</strong>. If you raise it for jumbo frames (e.g. to boost storage throughput), the value must be set <strong>consistently</strong> across every node's network config for that cluster network <strong>and</strong> on the physical switches/uplinks end to end. A mismatch causes silent drops of large frames.</p>	suse-virtualization networking
<p>How can a VM's VLAN network affect live migration?</p>	<p>A VM can only migrate to a host where its network is actually available. If the VM uses a VLAN network whose <strong>cluster network / uplink does not span the destination node</strong>, that node fails the scheduling rules and migration is blocked. Ensure the VLAN cluster network config covers all candidate nodes so the VM can move.</p>	suse-virtualization networking
<p>What is SUSE Storage and what does it provide to Harvester?</p>	<p><strong>SUSE Storage is Longhorn</strong>, shipped and supported inside Harvester. It provides <strong>distributed, replicated block storage</strong> built from the local disks of the cluster nodes. VM disks are Longhorn volumes exposed through a CSI StorageClass, so no external SAN/NAS is required for hyperconverged operation.</p>	suse-virtualization storage-suse-storage-longhorn
<p>How does Longhorn protect VM data against a node failure?</p>	<p>Each Longhorn volume keeps multiple <strong>replicas</strong> on different nodes and writes to them <strong>synchronously</strong>, so every replica is consistent. The default replica count is <strong>3</strong> (<code>numberOfReplicas: 3</code>). If a node dies, the volume stays available from a surviving replica and Longhorn rebuilds a fresh replica elsewhere.</p>	suse-virtualization storage-suse-storage-longhorn
<p>What StorageClass do Harvester VM volumes use by default?</p>	<p>The default StorageClass is <strong><code>harvester-longhorn</code></strong>, which provisions Longhorn volumes with 3 replicas. You can create additional StorageClasses to change parameters such as <code>numberOfReplicas</code>, <code>staleReplicaTimeout</code>, <code>dataLocality</code>, <code>migratable</code>, and node/disk selector tags for different performance or availability tiers.</p>	suse-virtualization storage-suse-storage-longhorn
<p>How are Longhorn volumes attached to VMs at the Kubernetes level?</p>	<p>Through the <strong>Longhorn CSI driver</strong>. Harvester requests a PVC from a Longhorn StorageClass, the CSI driver provisions and attaches the volume to the node running the VM's virt-launcher pod, and KubeVirt presents it to the guest as a disk. Volume lifecycle (provision/attach/detach/resize) is all CSI-driven.</p>	suse-virtualization storage-suse-storage-longhorn
<p>What volume operations does Harvester/Longhorn support?</p>	<p>Common operations include <strong>create</strong>, <strong>expand</strong> (grow capacity online), <strong>clone</strong> (copy into a new volume), <strong>export to image</strong> (turn a volume into a VirtualMachineImage), and <strong>snapshot</strong> (point-in-time state). Snapshots are local restore points on the volume; backups (to an external target) are the off-cluster counterpart.</p>	suse-virtualization storage-suse-storage-longhorn
<p>What does the dataLocality setting do?</p>	<p><strong><code>dataLocality</code></strong> controls whether a replica is kept on the same node as the workload consuming the volume. <code>disabled</code> (default) lets Longhorn place replicas anywhere for balance; <code>best-effort</code> tries to keep one local replica to cut read latency and cross-node traffic. It is a hint, not a guarantee.</p>	suse-virtualization storage-suse-storage-longhorn
